label,file,start_sample,selected_energy,board_energy,board_valid,compare,mean_abs,max_abs,p95_abs,rmse,cosine,corr
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000004\data.wav,24000,0.019143661018649567,0.019143661033787184,1,pc_conditioned_vs_board,0.12982040020910388,1.369716890156269,0.45812650322914095,0.21768863097787464,0.9763058283171641,0.9763058283171645
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000004\data.wav,24000,0.019143661018649567,0.019143661033787184,1,pc_htk_none_conditioned_vs_board,0.010921588881903138,0.5153570175170898,0.04235579669475555,0.02831936105387382,0.9995990068795155,0.999599006879514
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000005\data.wav,48000,0.06668721261527352,0.06668721259336036,1,pc_vs_board_current,0.24452260976592816,1.6599641516804695,0.7444121602922672,0.3352860402037531,0.9437916292024421,0.9437916292024506
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000005\data.wav,48000,0.06668721261527352,0.06668721259336036,1,pc_conditioned_vs_board,0.244519170668911,1.659974880516529,0.7443902853876346,0.33528889414407514,0.9437906697247339,0.9437906697247337
cough,D:\cough_model_train\DATA\cough\cough_READY\cough\cough_000005\data.wav,48000,0.06668721261527352,0.06668721259336036,1,pc_htk_none_conditioned_vs_board,0.021544601508209086,0.6606543734669685,0.08117470741271965,0.04182140461380283,0.9991254849366673,0.9991254849366697
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100.wav,104000,0.013069583295527787,0.013069583263010907,1,pc_vs_board_current,0.20154503761590567,2.160219669342041,0.5836318105459212,0.2926879250086648,0.9571668816389247,0.9571668816389309
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100.wav,104000,0.013069583295527787,0.013069583263010907,1,pc_conditioned_vs_board,0.20154385289552282,2.160219192504883,0.5836320970207451,0.29268764392360347,0.9571669644277805,0.9571669644277986
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100.wav,104000,0.013069583295527787,0.013069583263010907,1,pc_htk_none_conditioned_vs_board,0.021087739321033177,0.3289082646369934,0.08042911440134047,0.03720041028380341,0.999308064596259,0.9993080645963116
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100005.wav,0,0.001589695976284096,0.0015896959745083968,1,pc_vs_board_current,0.1016983605330259,0.7866555154323578,0.31800102591514534,0.14124659569821305,0.9900246985298685,0.9900246985298686
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100005.wav,0,0.001589695976284096,0.0015896959745083968,1,pc_conditioned_vs_board,0.10179854018814254,0.7866162955760956,0.3179638147354121,0.14128214771152753,0.990019676134467,0.9900196761344708
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100005.wav,0,0.001589695976284096,0.0015896959745083968,1,pc_htk_none_conditioned_vs_board,0.0037741976516669396,0.11638021469116211,0.021063798666000364,0.009694236606193504,0.9999530108838783,0.999953010883881
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100006.wav,0,0.003273404904721156,0.003273404915236911,1,pc_vs_board_current,0.18032959469557033,1.120912753045559,0.49656475484371176,0.23440752136721607,0.9725265560588638,0.9725265560588688
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100006.wav,0,0.003273404904721156,0.003273404915236911,1,pc_conditioned_vs_board,0.18013436804519756,1.1201069951057434,0.49562359303235964,0.23419026929629977,0.9725774573123535,0.9725774573123533
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100006.wav,0,0.003273404904721156,0.003273404915236911,1,pc_htk_none_conditioned_vs_board,0.010906035537323753,0.13816452026367188,0.04068664684891696,0.017831569359635747,0.999841017558494,0.9998410175584931
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100007.wav,0,0.003184694879711474,0.0031846948843833713,1,pc_vs_board_current,0.1442099176945037,1.0018480569124222,0.39526624977588626,0.19000569398221814,0.9819489168122283,0.9819489168122334
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100007.wav,0,0.003184694879711474,0.0031846948843833713,1,pc_conditioned_vs_board,0.14374471369369035,1.001354232430458,0.3820752829313275,0.1882205753415993,0.9822865054851692,0.9822865054851712
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100007.wav,0,0.003184694879711474,0.0031846948843833713,1,pc_htk_none_conditioned_vs_board,0.007849521532128588,0.12591201066970825,0.030339598655700663,0.01497310001018342,0.9998879031242919,0.9998879031242911
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100011.wav,8000,0.024747737766910985,0.024747737694616807,1,pc_vs_board_current,0.14128911098770444,1.2506167888641357,0.41383542120456696,0.1990903811870449,0.9801815071418852,0.9801815071418872
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100011.wav,8000,0.024747737766910985,0.024747737694616807,1,pc_conditioned_vs_board,0.141287606164058,1.2506107091903687,0.4138473331928253,0.19908607807707865,0.9801823638937486,0.9801823638937509
non_cough,D:\cough_model_train\DATA\non_cough\FSD50K_Negative_clean\100011.wav,8000,0.024747737766910985,0.024747737694616807,1,pc_htk_none_conditioned_vs_board,0.015751483331308297,0.2157224416732788,0.06197631657123565,0.028376629667710016,0.9995973833987707,0.9995973833987826
