device,tick_ms,sequence,valid,block_index,sample_index,left,right,sample_count,min,max,peak_abs,mean_abs,frame_id,radar_type,frame_len,data_len,driver_drop,msg_drop,frame_hex,radar_decoded
mic,48604,69,1,5,71,19,-4,,,,,,,,,,24143,21432,,
mic,48604,69,1,5,72,-40,-51,,,,,,,,,,24145,21432,,
mic,48604,69,1,5,73,-32,-45,,,,,,,,,,24147,21432,,
mic,48604,69,1,5,74,-91,-99,,,,,,,,,,24149,21432,,
mic,48604,69,1,5,75,-75,-105,,,,,,,,,,24152,21432,,
mic,48604,69,1,5,76,-117,-118,,,,,,,,,,24154,21432,,
mic,48604,69,1,5,77,-120,-129,,,,,,,,,,24156,21432,,
mic,48604,69,1,5,78,-115,-134,,,,,,,,,,24159,21432,,
mic,48604,69,1,5,79,-160,-151,,,,,,,,,,24161,21432,,
mic,48604,69,1,5,80,-181,-178,,,,,,,,,,24163,21432,,
mic,48604,69,1,5,81,-191,-194,,,,,,,,,,24166,21432,,
mic,48604,69,1,5,82,-215,-242,,,,,,,,,,24168,21432,,
mic,48604,69,1,5,83,-199,-218,,,,,,,,,,24170,21432,,
mic,48604,69,1,5,84,-179,-233,,,,,,,,,,24173,21432,,
mic,48604,69,1,5,85,-201,-198,,,,,,,,,,24175,21432,,
mic,48604,69,1,5,86,-190,-219,,,,,,,,,,24177,21432,,
mic,48604,69,1,5,87,-186,-199,,,,,,,,,,24180,21432,,
mic,48604,69,1,5,88,-207,-225,,,,,,,,,,24182,21432,,
mic,48604,69,1,5,89,-210,-209,,,,,,,,,,24184,21432,,
mic,48604,69,1,5,90,-200,-241,,,,,,,,,,24187,21432,,
mic,48604,69,1,5,91,-219,-234,,,,,,,,,,24189,21432,,
mic,48604,69,1,5,92,-222,-238,,,,,,,,,,24191,21432,,
mic,48604,69,1,5,93,-233,-256,,,,,,,,,,24194,21432,,
mic,48604,69,1,5,94,-233,-286,,,,,,,,,,24196,21432,,
mic,48604,69,1,5,95,-278,-279,,,,,,,,,,24199,21432,,
mic,48604,69,1,5,96,-223,-282,,,,,,,,,,24201,21432,,
